AAR,BYDEL,ALDER,CIVST,KOEN,PERSONER
2015,1,85,G,1,15
2015,1,85,G,2,8
2015,1,85,U,1,2
2015,1,85,U,2,6
2015,1,86,E,1,11
2015,1,86,E,2,30
2015,1,86,F,1,2
2015,1,86,F,2,14
2015,1,86,G,1,9
2015,1,86,G,2,2
2015,1,86,U,1,3
2015,1,86,U,2,2
2015,1,87,E,1,10
2015,1,87,E,2,23
2015,1,87,F,1,1
2015,1,87,F,2,9
2015,1,87,G,1,11
2015,1,87,G,2,5
2015,1,87,U,1,1
2015,1,87,U,2,6
2015,1,88,E,1,3
2015,1,88,E,2,28
2015,1,88,F,1,2
2015,1,88,F,2,11
2015,1,88,G,1,6
2015,1,88,G,2,2
2015,1,88,U,1,1
2015,1,88,U,2,7
2015,1,89,E,1,3
2015,1,89,E,2,19
2015,1,89,F,1,1
2015,1,89,F,2,11
2015,1,89,G,1,5
2015,1,89,G,2,3
2015,1,89,L,1,1
2015,1,89,U,1,2
2015,1,89,U,2,2
2015,1,90,E,1,4
2015,1,90,E,2,25
2015,1,90,F,2,9
2015,1,90,G,1,11
2015,1,90,G,2,2
2015,1,90,U,2,6
2015,1,91,E,1,4
2015,1,91,E,2,24
2015,1,91,F,2,8
2015,1,91,G,1,2
2015,1,91,G,2,3
2015,1,91,U,2,3
2015,1,92,E,2,16
2015,1,92,F,2,6
2015,1,92,G,1,4
2015,1,92,G,2,3
2015,1,92,U,2,1
2015,1,93,E,1,7
2015,1,93,E,2,17
2015,1,93,F,1,3
2015,1,93,F,2,6
2015,1,93,U,1,2
2015,1,93,U,2,1
2015,1,94,E,1,3
2015,1,94,E,2,13
2015,1,94,F,2,1
2015,1,94,G,1,1
2015,1,94,U,1,1
2015,1,94,U,2,1
2015,1,95,E,1,2
2015,1,95,E,2,4
2015,1,95,F,2,5
2015,1,95,G,1,1
2015,1,95,G,2,2
2015,1,95,U,1,2
2015,1,95,U,2,1
2015,1,96,E,1,2
2015,1,96,E,2,4
2015,1,96,F,1,1
2015,1,96,F,2,5
2015,1,96,U,1,1
2015,1,96,U,2,3
2015,1,97,E,1,1
2015,1,97,E,2,4
2015,1,97,F,2,1
2015,1,97,G,1,2
2015,1,98,E,1,1
2015,1,98,E,2,5
2015,1,98,F,2,1
2015,1,98,U,2,1
2015,1,99,U,2,2
2015,1,100,E,1,2
2015,1,100,E,2,3
2015,1,100,F,2,1
2015,1,102,E,2,2
2015,1,103,E,2,1
2015,1,106,E,2,1
2015,2,0,U,1,559
2015,2,0,U,2,528
2015,2,1,U,1,564
2015,2,1,U,2,445
2015,2,2,U,1,482
2015,2,2,U,2,439
2015,2,3,U,1,417
2015,2,3,U,2,391
2015,2,4,U,1,442
2015,2,4,U,2,394
2015,2,5,U,1,446
2015,2,5,U,2,390
2015,2,6,U,1,370
2015,2,6,U,2,349
2015,2,7,U,1,389
2015,2,7,U,2,362
2015,2,8,U,1,376
2015,2,8,U,2,339
2015,2,9,U,1,332
2015,2,9,U,2,315
2015,2,10,U,1,329
2015,2,10,U,2,330
2015,2,11,U,1,317
2015,2,11,U,2,321
2015,2,12,U,1,294
2015,2,12,U,2,283
2015,2,13,U,1,313
2015,2,13,U,2,297
2015,2,14,U,1,300
2015,2,14,U,2,312
2015,2,15,U,1,262
2015,2,15,U,2,278
2015,2,16,U,1,298
2015,2,16,U,2,278
2015,2,17,U,1,320
2015,2,17,U,2,281
2015,2,18,G,2,1
2015,2,18,U,1,297
2015,2,18,U,2,310
2015,2,19,U,1,334
2015,2,19,U,2,369
2015,2,20,G,2,1
2015,2,20,U,1,384
2015,2,20,U,2,514
2015,2,21,G,1,3
2015,2,21,G,2,1
2015,2,21,U,1,539
2015,2,21,U,2,830
2015,2,22,G,2,7
2015,2,22,U,1,704
2015,2,22,U,2,870
2015,2,23,F,2,1
2015,2,23,G,1,8
2015,2,23,G,2,16
2015,2,23,U,1,823
2015,2,23,U,2,936
2015,2,24,F,2,1
2015,2,24,G,1,11
2015,2,24,G,2,27
2015,2,24,U,1,844
2015,2,24,U,2,1007
2015,2,25,F,1,1
2015,2,25,F,2,4
2015,2,25,G,1,20
2015,2,25,G,2,42
2015,2,25,U,1,905
2015,2,25,U,2,1086
2015,2,26,F,1,2
2015,2,26,F,2,5
2015,2,26,G,1,30
2015,2,26,G,2,72
2015,2,26,U,1,872
2015,2,26,U,2,951
2015,2,27,F,1,1
2015,2,27,F,2,4
2015,2,27,G,1,47
2015,2,27,G,2,96
2015,2,27,O,2,1
2015,2,27,P,2,1
2015,2,27,U,1,817
2015,2,27,U,2,889
2015,2,28,F,1,3
2015,2,28,F,2,13
2015,2,28,G,1,84
2015,2,28,G,2,122
2015,2,28,P,2,1
2015,2,28,U,1,832
2015,2,28,U,2,824
2015,2,29,E,1,1
2015,2,29,F,1,4
2015,2,29,F,2,17
2015,2,29,G,1,109
2015,2,29,G,2,166
2015,2,29,P,2,2
2015,2,29,U,1,817
2015,2,29,U,2,743
2015,2,30,F,1,7
2015,2,30,F,2,21
2015,2,30,G,1,148
2015,2,30,G,2,202
2015,2,30,O,2,1
2015,2,30,P,2,2
2015,2,30,U,1,718
2015,2,30,U,2,630
2015,2,31,E,2,2
2015,2,31,F,1,5
2015,2,31,F,2,19
2015,2,31,G,1,148
2015,2,31,G,2,215
2015,2,31,P,1,1
2015,2,31,U,1,574
2015,2,31,U,2,528
2015,2,32,F,1,12
2015,2,32,F,2,21
2015,2,32,G,1,182
2015,2,32,G,2,192
2015,2,32,U,1,522
2015,2,32,U,2,482
2015,2,33,E,2,1
2015,2,33,F,1,17
2015,2,33,F,2,25
2015,2,33,G,1,158
2015,2,33,G,2,226
2015,2,33,O,1,2
2015,2,33,P,1,2
2015,2,33,U,1,449
2015,2,33,U,2,420
2015,2,34,F,1,12
2015,2,34,F,2,44
2015,2,34,G,1,201
2015,2,34,G,2,216
2015,2,34,O,1,1
2015,2,34,O,2,1
2015,2,34,U,1,445
2015,2,34,U,2,421
2015,2,35,F,1,16
2015,2,35,F,2,36
2015,2,35,G,1,202
2015,2,35,G,2,260
2015,2,35,O,1,2
2015,2,35,O,2,1
2015,2,35,P,1,3
2015,2,35,U,1,417
2015,2,35,U,2,374
2015,2,36,E,2,2
2015,2,36,F,1,20
2015,2,36,F,2,52
2015,2,36,G,1,234
2015,2,36,G,2,273
2015,2,36,O,1,2
2015,2,36,P,1,2
2015,2,36,P,2,3
2015,2,36,U,1,378
2015,2,36,U,2,338
2015,2,37,E,1,1
2015,2,37,E,2,1
2015,2,37,F,1,33
2015,2,37,F,2,64
2015,2,37,G,1,233
2015,2,37,G,2,226
2015,2,37,O,1,1
2015,2,37,P,1,2
2015,2,37,U,1,332
2015,2,37,U,2,285
2015,2,38,F,1,42
2015,2,38,F,2,58
2015,2,38,G,1,241
2015,2,38,G,2,219
2015,2,38,O,1,1
2015,2,38,O,2,4
2015,2,38,P,1,2
2015,2,38,P,2,2
2015,2,38,U,1,306
2015,2,38,U,2,258
2015,2,39,E,2,1
2015,2,39,F,1,50
2015,2,39,F,2,57
2015,2,39,G,1,223
2015,2,39,G,2,233
2015,2,39,O,2,2
2015,2,39,P,2,5
2015,2,39,U,1,329
2015,2,39,U,2,297
2015,2,40,E,1,1
2015,2,40,E,2,1
2015,2,40,F,1,65
2015,2,40,F,2,72
2015,2,40,G,1,256
2015,2,40,G,2,243
2015,2,40,L,1,1
2015,2,40,O,1,3
2015,2,40,P,1,2
2015,2,40,P,2,2
2015,2,40,U,1,290
2015,2,40,U,2,246
2015,2,41,E,1,1
2015,2,41,F,1,47
2015,2,41,F,2,81
2015,2,41,G,1,233
2015,2,41,G,2,275
2015,2,41,O,1,2
2015,2,41,O,2,1
2015,2,41,P,1,1
2015,2,41,P,2,1
2015,2,41,U,1,256
2015,2,41,U,2,223
2015,2,42,E,2,3
2015,2,42,F,1,61
2015,2,42,F,2,86
2015,2,42,G,1,240
2015,2,42,G,2,239
2015,2,42,O,1,1
2015,2,42,O,2,2
2015,2,42,P,1,1
2015,2,42,P,2,1
2015,2,42,U,1,259
